name	type	units	signal_electrode	reference	group	target_muscle
ED-8-8	EMG	uV	E1	REF	ExtensorDistal	forearm extensors
ED-8-7	EMG	uV	E2	REF	ExtensorDistal	forearm extensors
ED-8-6	EMG	uV	E3	REF	ExtensorDistal	forearm extensors
ED-8-5	EMG	uV	E4	REF	ExtensorDistal	forearm extensors
ED-8-4	EMG	uV	E5	REF	ExtensorDistal	forearm extensors
ED-8-3	EMG	uV	E6	REF	ExtensorDistal	forearm extensors
ED-8-2	EMG	uV	E7	REF	ExtensorDistal	forearm extensors
ED-8-1	EMG	uV	E8	REF	ExtensorDistal	forearm extensors
ED-7-8	EMG	uV	E9	REF	ExtensorDistal	forearm extensors
ED-7-7	EMG	uV	E10	REF	ExtensorDistal	forearm extensors
ED-7-6	EMG	uV	E11	REF	ExtensorDistal	forearm extensors
ED-7-5	EMG	uV	E12	REF	ExtensorDistal	forearm extensors
ED-7-4	EMG	uV	E13	REF	ExtensorDistal	forearm extensors
ED-7-3	EMG	uV	E14	REF	ExtensorDistal	forearm extensors
ED-7-2	EMG	uV	E15	REF	ExtensorDistal	forearm extensors
ED-7-1	EMG	uV	E16	REF	ExtensorDistal	forearm extensors
ED-6-8	EMG	uV	E17	REF	ExtensorDistal	forearm extensors
ED-6-7	EMG	uV	E18	REF	ExtensorDistal	forearm extensors
ED-6-6	EMG	uV	E19	REF	ExtensorDistal	forearm extensors
ED-6-5	EMG	uV	E20	REF	ExtensorDistal	forearm extensors
ED-6-4	EMG	uV	E21	REF	ExtensorDistal	forearm extensors
ED-6-3	EMG	uV	E22	REF	ExtensorDistal	forearm extensors
ED-6-2	EMG	uV	E23	REF	ExtensorDistal	forearm extensors
ED-6-1	EMG	uV	E24	REF	ExtensorDistal	forearm extensors
ED-5-8	EMG	uV	E25	REF	ExtensorDistal	forearm extensors
ED-5-7	EMG	uV	E26	REF	ExtensorDistal	forearm extensors
ED-5-6	EMG	uV	E27	REF	ExtensorDistal	forearm extensors
ED-5-5	EMG	uV	E28	REF	ExtensorDistal	forearm extensors
ED-5-4	EMG	uV	E29	REF	ExtensorDistal	forearm extensors
ED-5-3	EMG	uV	E30	REF	ExtensorDistal	forearm extensors
ED-5-2	EMG	uV	E31	REF	ExtensorDistal	forearm extensors
ED-5-1	EMG	uV	E32	REF	ExtensorDistal	forearm extensors
ED-4-8	EMG	uV	E33	REF	ExtensorDistal	forearm extensors
ED-4-7	EMG	uV	E34	REF	ExtensorDistal	forearm extensors
ED-4-6	EMG	uV	E35	REF	ExtensorDistal	forearm extensors
ED-4-5	EMG	uV	E36	REF	ExtensorDistal	forearm extensors
ED-4-4	EMG	uV	E37	REF	ExtensorDistal	forearm extensors
ED-4-3	EMG	uV	E38	REF	ExtensorDistal	forearm extensors
ED-4-2	EMG	uV	E39	REF	ExtensorDistal	forearm extensors
ED-4-1	EMG	uV	E40	REF	ExtensorDistal	forearm extensors
ED-3-8	EMG	uV	E41	REF	ExtensorDistal	forearm extensors
ED-3-7	EMG	uV	E42	REF	ExtensorDistal	forearm extensors
ED-3-6	EMG	uV	E43	REF	ExtensorDistal	forearm extensors
ED-3-5	EMG	uV	E44	REF	ExtensorDistal	forearm extensors
ED-3-4	EMG	uV	E45	REF	ExtensorDistal	forearm extensors
ED-3-3	EMG	uV	E46	REF	ExtensorDistal	forearm extensors
ED-3-2	EMG	uV	E47	REF	ExtensorDistal	forearm extensors
ED-3-1	EMG	uV	E48	REF	ExtensorDistal	forearm extensors
ED-2-8	EMG	uV	E49	REF	ExtensorDistal	forearm extensors
ED-2-7	EMG	uV	E50	REF	ExtensorDistal	forearm extensors
ED-2-6	EMG	uV	E51	REF	ExtensorDistal	forearm extensors
ED-2-5	EMG	uV	E52	REF	ExtensorDistal	forearm extensors
ED-2-4	EMG	uV	E53	REF	ExtensorDistal	forearm extensors
ED-2-3	EMG	uV	E54	REF	ExtensorDistal	forearm extensors
ED-2-2	EMG	uV	E55	REF	ExtensorDistal	forearm extensors
ED-2-1	EMG	uV	E56	REF	ExtensorDistal	forearm extensors
ED-1-8	EMG	uV	E57	REF	ExtensorDistal	forearm extensors
ED-1-7	EMG	uV	E58	REF	ExtensorDistal	forearm extensors
ED-1-6	EMG	uV	E59	REF	ExtensorDistal	forearm extensors
ED-1-5	EMG	uV	E60	REF	ExtensorDistal	forearm extensors
ED-1-4	EMG	uV	E61	REF	ExtensorDistal	forearm extensors
ED-1-3	EMG	uV	E62	REF	ExtensorDistal	forearm extensors
ED-1-2	EMG	uV	E63	REF	ExtensorDistal	forearm extensors
ED-1-1	EMG	uV	E64	REF	ExtensorDistal	forearm extensors
EP-8-8	EMG	uV	E1	REF	ExtensorProximal	forearm extensors
EP-8-7	EMG	uV	E2	REF	ExtensorProximal	forearm extensors
EP-8-6	EMG	uV	E3	REF	ExtensorProximal	forearm extensors
EP-8-5	EMG	uV	E4	REF	ExtensorProximal	forearm extensors
EP-8-4	EMG	uV	E5	REF	ExtensorProximal	forearm extensors
EP-8-3	EMG	uV	E6	REF	ExtensorProximal	forearm extensors
EP-8-2	EMG	uV	E7	REF	ExtensorProximal	forearm extensors
EP-8-1	EMG	uV	E8	REF	ExtensorProximal	forearm extensors
EP-7-8	EMG	uV	E9	REF	ExtensorProximal	forearm extensors
EP-7-7	EMG	uV	E10	REF	ExtensorProximal	forearm extensors
EP-7-6	EMG	uV	E11	REF	ExtensorProximal	forearm extensors
EP-7-5	EMG	uV	E12	REF	ExtensorProximal	forearm extensors
EP-7-4	EMG	uV	E13	REF	ExtensorProximal	forearm extensors
EP-7-3	EMG	uV	E14	REF	ExtensorProximal	forearm extensors
EP-7-2	EMG	uV	E15	REF	ExtensorProximal	forearm extensors
EP-7-1	EMG	uV	E16	REF	ExtensorProximal	forearm extensors
EP-6-8	EMG	uV	E17	REF	ExtensorProximal	forearm extensors
EP-6-7	EMG	uV	E18	REF	ExtensorProximal	forearm extensors
EP-6-6	EMG	uV	E19	REF	ExtensorProximal	forearm extensors
EP-6-5	EMG	uV	E20	REF	ExtensorProximal	forearm extensors
EP-6-4	EMG	uV	E21	REF	ExtensorProximal	forearm extensors
EP-6-3	EMG	uV	E22	REF	ExtensorProximal	forearm extensors
EP-6-2	EMG	uV	E23	REF	ExtensorProximal	forearm extensors
EP-6-1	EMG	uV	E24	REF	ExtensorProximal	forearm extensors
EP-5-8	EMG	uV	E25	REF	ExtensorProximal	forearm extensors
EP-5-7	EMG	uV	E26	REF	ExtensorProximal	forearm extensors
EP-5-6	EMG	uV	E27	REF	ExtensorProximal	forearm extensors
EP-5-5	EMG	uV	E28	REF	ExtensorProximal	forearm extensors
EP-5-4	EMG	uV	E29	REF	ExtensorProximal	forearm extensors
EP-5-3	EMG	uV	E30	REF	ExtensorProximal	forearm extensors
EP-5-2	EMG	uV	E31	REF	ExtensorProximal	forearm extensors
EP-5-1	EMG	uV	E32	REF	ExtensorProximal	forearm extensors
EP-4-8	EMG	uV	E33	REF	ExtensorProximal	forearm extensors
EP-4-7	EMG	uV	E34	REF	ExtensorProximal	forearm extensors
EP-4-6	EMG	uV	E35	REF	ExtensorProximal	forearm extensors
EP-4-5	EMG	uV	E36	REF	ExtensorProximal	forearm extensors
EP-4-4	EMG	uV	E37	REF	ExtensorProximal	forearm extensors
EP-4-3	EMG	uV	E38	REF	ExtensorProximal	forearm extensors
EP-4-2	EMG	uV	E39	REF	ExtensorProximal	forearm extensors
EP-4-1	EMG	uV	E40	REF	ExtensorProximal	forearm extensors
EP-3-8	EMG	uV	E41	REF	ExtensorProximal	forearm extensors
EP-3-7	EMG	uV	E42	REF	ExtensorProximal	forearm extensors
EP-3-6	EMG	uV	E43	REF	ExtensorProximal	forearm extensors
EP-3-5	EMG	uV	E44	REF	ExtensorProximal	forearm extensors
EP-3-4	EMG	uV	E45	REF	ExtensorProximal	forearm extensors
EP-3-3	EMG	uV	E46	REF	ExtensorProximal	forearm extensors
EP-3-2	EMG	uV	E47	REF	ExtensorProximal	forearm extensors
EP-3-1	EMG	uV	E48	REF	ExtensorProximal	forearm extensors
EP-2-8	EMG	uV	E49	REF	ExtensorProximal	forearm extensors
EP-2-7	EMG	uV	E50	REF	ExtensorProximal	forearm extensors
EP-2-6	EMG	uV	E51	REF	ExtensorProximal	forearm extensors
EP-2-5	EMG	uV	E52	REF	ExtensorProximal	forearm extensors
EP-2-4	EMG	uV	E53	REF	ExtensorProximal	forearm extensors
EP-2-3	EMG	uV	E54	REF	ExtensorProximal	forearm extensors
EP-2-2	EMG	uV	E55	REF	ExtensorProximal	forearm extensors
EP-2-1	EMG	uV	E56	REF	ExtensorProximal	forearm extensors
EP-1-8	EMG	uV	E57	REF	ExtensorProximal	forearm extensors
EP-1-7	EMG	uV	E58	REF	ExtensorProximal	forearm extensors
EP-1-6	EMG	uV	E59	REF	ExtensorProximal	forearm extensors
EP-1-5	EMG	uV	E60	REF	ExtensorProximal	forearm extensors
EP-1-4	EMG	uV	E61	REF	ExtensorProximal	forearm extensors
EP-1-3	EMG	uV	E62	REF	ExtensorProximal	forearm extensors
EP-1-2	EMG	uV	E63	REF	ExtensorProximal	forearm extensors
EP-1-1	EMG	uV	E64	REF	ExtensorProximal	forearm extensors
